url,tagfrom,tagto,organizator,isgood
https://lenta.ru/news/2019/12/15/peremirie/,,,,True
https://lenta.ru/news/2019/12/15/eda/,,,,True
https://lenta.ru/news/2019/12/15/sekret/,,,,True
https://lenta.ru/news/2019/12/15/cat/,,,,True
https://lenta.ru/news/2019/12/15/bog_liubit_troitsu/,419,423,gibdd,True
https://lenta.ru/news/2019/12/15/faber_yan/,,,,True
https://lenta.ru/news/2019/12/15/podlodka/,464,480,ministerstvo-oborony,True
https://lenta.ru/news/2019/12/15/copy/,57,78,rosteh,True
https://lenta.ru/news/2019/12/15/copy/,319,334,suhoy,True
https://lenta.ru/news/2019/12/15/new_magomedovy/,1548,1557,mvd,True
https://lenta.ru/news/2019/12/15/raznoglasiya/,,,,True
https://lenta.ru/news/2019/12/15/slutsky/,995,1008,sbornaya-rossii,True
https://lenta.ru/news/2019/12/15/slutsky/,1012,1015,tsska,True
https://lenta.ru/news/2019/12/15/vsplila/,,,,True
https://lenta.ru/news/2019/12/15/korzh/,545,570,mvd,True
https://lenta.ru/news/2019/12/15/bestof/,1,11,zhurnal-time,True
https://lenta.ru/news/2019/12/15/bestof/,177,190,apple,True
https://lenta.ru/news/2019/12/15/bestof/,1019,1024,google,True
https://lenta.ru/news/2019/12/15/bestof/,1084,1089,amazon,True
https://lenta.ru/news/2019/12/15/dnr_otvod/,,,,True
https://lenta.ru/news/2019/12/15/oliviechka/,3,18,rospotrebnadzor,True
https://lenta.ru/news/2019/12/15/neojidanno/,16,54,komitet-soveta-federatsii-po-mezhdunarodnym-delam,True
https://lenta.ru/news/2019/12/15/russian_kuruly/,16,31,sovet-federatsii,True
https://lenta.ru/news/2019/12/15/sewer_dwellers/,127,136,lenta-ru,True
https://lenta.ru/news/2019/12/15/sewer_dwellers/,162,208,skr,True
https://lenta.ru/news/2019/12/15/sewer_dwellers/,328,330,mvd,True
https://lenta.ru/news/2019/12/15/drift/,,,,True
https://lenta.ru/news/2019/12/15/nenashev/,389,413,gazeta-sovetskaya-rossiya,True
https://lenta.ru/news/2019/12/15/models/,,,,True
https://lenta.ru/news/2019/12/15/wedding/,,,,True
https://lenta.ru/news/2019/12/15/buckwheat_torture/,175,180,ren-tv,True
https://lenta.ru/news/2019/12/15/karina/,,,,True
https://lenta.ru/news/2019/12/15/sink/,734,743,ministerstvo-oborony,True
https://lenta.ru/news/2019/12/15/prognoz/,1,38,ntsuo-rf,True
https://lenta.ru/news/2019/12/15/prognoz/,407,425,tk-zvezda,True
https://lenta.ru/news/2019/12/15/prognoz/,1261,1269,es,True
https://lenta.ru/news/2019/12/15/plyushenkoo/,,,,True
https://lenta.ru/news/2019/12/15/cenzura/,,,,True
https://lenta.ru/news/2019/12/15/happy_new_year/,178,194,rossiyskaya-gazeta,True
https://lenta.ru/news/2019/12/15/most/,310,312,mchs,True
https://lenta.ru/news/2019/12/15/caught/,181,190,lenta-ru,True
https://lenta.ru/news/2019/12/15/caught/,227,236,mvd,True
https://lenta.ru/news/2019/12/15/all_kurillas/,219,234,sovet-federatsii,True
https://lenta.ru/news/2019/12/15/all_kurillas/,480,486,gosduma,True
https://lenta.ru/news/2019/12/15/shushkevich/,177,187,gazeta-ru,True
https://lenta.ru/news/2019/12/15/poroshenko/,36,49,verhovnaya-rada,True
https://lenta.ru/news/2019/12/15/zagitova/,,,,True
https://lenta.ru/news/2019/12/15/do_ruchki/,218,228,gazeta-ru,True
https://lenta.ru/news/2019/12/15/debosh/,,,,True
https://lenta.ru/news/2019/12/15/photo/,,,,True
https://lenta.ru/news/2019/12/15/pod/,,,,True
https://lenta.ru/news/2019/12/15/samozanyat/,,,,True
https://lenta.ru/news/2019/12/15/comaback/,99,110,gazeta-ru,True
https://lenta.ru/news/2019/12/15/comaback/,1229,1244,sovet-federatsii,True
https://lenta.ru/news/2019/12/15/comaback/,1276,1296,minkultury,True
https://lenta.ru/news/2019/12/15/obed/,,,,True
https://lenta.ru/news/2019/12/15/an/,333,335,mvd,True
https://lenta.ru/news/2019/12/15/plane_delay/,37,56,aeroport-domodedovo,True
https://lenta.ru/news/2019/12/15/contacts/,987,990,ates,True
https://lenta.ru/news/2019/12/15/garbrandt/,,,,True
https://lenta.ru/news/2019/12/15/iridescence/,145,170,national-geographic,True
https://lenta.ru/news/2019/12/15/sabotaj/,,,,True
https://lenta.ru/news/2019/12/15/ze/,,,,True
https://lenta.ru/news/2019/12/15/promety/,,,,True
https://lenta.ru/news/2019/12/15/ostanki/,,,,True
https://lenta.ru/news/2019/12/15/ferg/,,,,True
https://lenta.ru/news/2019/12/15/rape/,,,,True
https://lenta.ru/news/2019/12/15/bespilotnik/,,,,True
https://lenta.ru/news/2019/12/15/uslovie/,,,,True
https://lenta.ru/news/2019/12/15/perm/,384,408,mvd,True
https://lenta.ru/news/2019/12/15/surgut/,,,,True
https://lenta.ru/news/2019/12/15/nurma/,,,,True
https://lenta.ru/news/2019/12/15/absurd/,,,,True
https://lenta.ru/news/2019/12/15/demonizatsia/,1133,1142,senat-ssha,True
https://lenta.ru/news/2019/12/15/mesto_zhenshchiny/,183,196,pervyy-kanal,True
https://lenta.ru/news/2019/12/15/neft/,,,,True
https://lenta.ru/news/2019/12/15/dtpbus/,425,429,gibdd,True
https://lenta.ru/news/2019/12/15/armenia_9_may/,,,,True
https://lenta.ru/news/2019/12/15/teatime/,,,,True
https://lenta.ru/news/2019/12/15/city_ars/,38,47,emirates,True
https://lenta.ru/news/2019/12/15/fsb/,12,14,fsb,True
https://lenta.ru/news/2019/12/15/fsb/,527,560,fas,True
https://lenta.ru/news/2019/12/15/vgtrk/,16,20,vgtrk,True
https://lenta.ru/news/2019/12/15/neadekvat/,286,311,mvd,True
https://lenta.ru/news/2019/12/15/rus_fin/,1,14,sbornaya-rossii,True
https://lenta.ru/news/2019/12/15/mueverton/,2,18,manchester-yunayted,True
https://lenta.ru/news/2019/12/15/tottenhotwolwer/,,,,True
https://lenta.ru/news/2019/12/15/transit/,376,385,gazprom,True
https://lenta.ru/news/2019/12/15/transit/,885,895,naftogaz,True
https://lenta.ru/news/2019/12/15/maxkorzh/,924,949,mvd,True
https://lenta.ru/news/2019/12/15/ross/,,,,True
https://lenta.ru/news/2019/12/15/coe/,1162,1197,vsemirnoe-antidopingovoe-agentstvo,True
https://lenta.ru/news/2019/12/15/gre/,234,249,ren-tv,True
https://lenta.ru/news/2019/12/15/number/,965,969,gibdd,True
https://lenta.ru/news/2019/12/15/srebrenitsa/,,,,True
https://lenta.ru/news/2019/12/15/rodnina/,9,15,gosduma,True
https://lenta.ru/news/2019/12/15/rodnina/,946,949,vsemirnoe-antidopingovoe-agentstvo,True
https://lenta.ru/news/2019/12/15/ugroza/,8,14,gosduma,True
https://lenta.ru/news/2019/12/15/ugroza/,1183,1198,sovet-federatsii,True
https://lenta.ru/news/2019/12/15/privatizatsia/,1,20,pravitelstvo-rf,True
https://lenta.ru/news/2019/12/15/privatizatsia/,973,989,minekonomrazvitiya,True
https://lenta.ru/news/2019/12/15/kazakh/,440,446,sbornaya-rossii,True
https://lenta.ru/news/2019/12/15/citymanchesterars/,,,,True
https://lenta.ru/news/2019/12/15/massa/,437,470,uralskie-avialinii,True
https://lenta.ru/news/2019/12/15/chelka/,965,984,skr,True
https://lenta.ru/news/2019/12/15/datsik/,,,,True
https://lenta.ru/news/2019/12/15/turbaza/,484,487,nato,True
https://lenta.ru/news/2019/12/15/turbaza/,704,726,minenergo,True
https://lenta.ru/news/2019/12/15/turbaza/,729,738,ministerstvo-oborony,True
https://lenta.ru/news/2019/12/15/turbaza/,948,957,senat-ssha,True
https://lenta.ru/news/2019/12/15/interview/,,,,True
https://lenta.ru/news/2019/12/16/nw/,1133,1149,ministerstvo-oborony,True
https://lenta.ru/news/2019/12/16/almaty/,465,474,itar-tass,True
https://lenta.ru/news/2019/12/16/genocide/,76,88,kongress-ssha,True
https://lenta.ru/news/2019/12/16/genocide/,421,429,senat-ssha,True
https://lenta.ru/news/2019/12/16/rvsn/,36,77,rvsn,True
https://lenta.ru/news/2019/12/16/wedding/,,,,True
https://lenta.ru/news/2019/12/16/truby/,644,654,bild,True
https://lenta.ru/news/2019/12/16/truby/,1102,1113,kongress-ssha,True
https://lenta.ru/news/2019/12/16/glamour/,77,105,radiostantsiya-govorit-moskva,True
https://lenta.ru/news/2019/12/16/eda/,10,12,ria-novosti,True
https://lenta.ru/news/2019/12/16/eda/,791,797,rosstat,True
https://lenta.ru/news/2019/12/16/exojob/,1086,1105,nornikel,True
https://lenta.ru/news/2019/12/13/ambra/,,,,True
https://lenta.ru/news/2019/12/16/otvet/,72,80,pentagon,True
https://lenta.ru/news/2019/12/16/otvet/,221,237,ministerstvo-oborony,True
https://lenta.ru/news/2019/12/16/otvet/,393,396,nato,True
https://lenta.ru/news/2019/12/16/otvet/,947,969,minenergo,True
https://lenta.ru/news/2019/12/16/otvet/,1030,1039,senat-ssha,True
https://lenta.ru/news/2019/12/16/18/,1,40,rkk-energiya,True
https://lenta.ru/news/2019/12/16/18/,54,63,roskosmos,True
https://lenta.ru/news/2019/12/16/lesbian/,,,,True
https://lenta.ru/news/2019/12/16/alive/,11,15,apple,True
https://lenta.ru/news/2019/12/16/zags/,153,172,komsomolskaya-pravda,True
https://lenta.ru/news/2019/12/16/avar/,9,15,gosduma,True
https://lenta.ru/news/2019/12/16/avar/,114,131,gazeta-izvestiya,True
https://lenta.ru/news/2019/12/16/avar/,611,636,delovaya-rossiya,True
https://lenta.ru/news/2019/12/16/upskirt/,,,,True
https://lenta.ru/news/2019/12/16/podchufarova/,253,287,vsemirnoe-antidopingovoe-agentstvo,True
https://lenta.ru/news/2019/12/16/power_rating/,,,,True
https://lenta.ru/news/2019/12/16/shprotu/,276,285,lenta-ru,True
https://lenta.ru/news/2019/12/16/three_moscow/,312,321,lenta-ru,True
https://lenta.ru/news/2019/12/16/coma/,,,,True
https://lenta.ru/news/2019/12/16/jobs/,,,,True
https://lenta.ru/news/2019/12/16/golod/,,,,True
https://lenta.ru/news/2019/12/16/wild/,133,146,forbes,True
https://lenta.ru/news/2019/12/16/wild/,1161,1166,amazon,True
https://lenta.ru/news/2019/12/16/python/,,,,True
https://lenta.ru/news/2019/12/16/lebanon/,,,,True
https://lenta.ru/news/2019/12/16/wind/,,,,True
https://lenta.ru/news/2019/12/16/moai/,,,,True
https://lenta.ru/news/2019/12/16/kukharka/,,,,True
https://lenta.ru/news/2019/12/16/law_nas/,171,175,vtsiom,True
https://lenta.ru/news/2019/12/16/law_nas/,249,266,vedomosti,True
https://lenta.ru/news/2019/12/16/law_nas/,1082,1097,sovet-federatsii,True
https://lenta.ru/news/2019/12/16/law_nas/,1385,1391,gosduma,True
https://lenta.ru/news/2019/12/16/90s_luxe/,159,188,inkom-nedvizhimost,True
https://lenta.ru/news/2019/12/16/90s_luxe/,214,223,lenta-ru,True
https://lenta.ru/news/2019/12/16/krasnojarsk/,726,748,fsin,True
https://lenta.ru/news/2019/12/16/hockey18/,11,24,sbornaya-rossii,True
https://lenta.ru/news/2019/12/16/jan/,230,246,rossiyskaya-gazeta,True
https://lenta.ru/news/2019/12/16/trash/,1646,1648,rbk,True
https://lenta.ru/news/2019/12/16/youtube_analog/,1,22,mail-ru-group,True
https://lenta.ru/news/2019/12/16/harvey/,,,,True
https://lenta.ru/news/2019/12/16/posepose/,,,,True
https://lenta.ru/news/2019/12/16/get_out/,152,169,new-york-times,True
https://lenta.ru/news/2019/12/16/kvartal/,,,,True
https://lenta.ru/news/2019/12/16/bite/,,,,True
https://lenta.ru/news/2019/12/16/marine/,,,,True
https://lenta.ru/news/2019/12/16/israeli_city/,182,191,lenta-ru,True
https://lenta.ru/news/2019/12/16/shvezova/,204,223,gazeta-kommersant,True
https://lenta.ru/news/2019/12/16/shvezova/,681,691,genprokuratura-rf,True
https://lenta.ru/news/2019/12/16/shvezova/,1107,1112,mvd,True
https://lenta.ru/news/2019/12/16/shvezova/,2022,2030,mosgorsud,True
https://lenta.ru/news/2019/12/16/zozulya/,1092,1099,dinamo,True
https://lenta.ru/news/2019/12/16/lost_police/,1090,1093,fsin,True
https://lenta.ru/news/2019/12/16/lost_police/,1657,1666,mvd,True
https://lenta.ru/news/2019/12/16/lost_police/,1678,1689,roskomnadzor,True
https://lenta.ru/news/2019/12/16/twitch/,1,13,rambler,True
https://lenta.ru/news/2019/12/16/twitch/,937,949,kommersant,True
https://lenta.ru/news/2019/12/16/twitch/,952,960,mosgorsud,True
https://lenta.ru/news/2019/12/16/top/,644,646,voz,True
https://lenta.ru/news/2019/12/16/passwords/,,,,True
https://lenta.ru/news/2019/12/16/sayga/,,,,True
https://lenta.ru/news/2019/12/16/kingsley/,,,,True
https://lenta.ru/news/2019/12/16/peremir/,37,39,mid,True
https://lenta.ru/news/2019/12/16/peremir/,187,191,unian,True
https://lenta.ru/news/2019/12/16/thousands_of_them/,,,,True
https://lenta.ru/news/2019/12/16/pensii/,3,9,minfin,True
https://lenta.ru/news/2019/12/16/pensii/,281,283,rbk,True
https://lenta.ru/news/2019/12/16/pensii/,1938,1961,pensionnyy-fond-rf,True
https://lenta.ru/news/2019/12/16/bellahadid/,,,,True
https://lenta.ru/news/2019/12/16/losangelesibra/,635,651,manchester-yunayted,True
https://lenta.ru/news/2019/12/16/doroga/,233,237,riamo,True
https://lenta.ru/news/2019/12/16/americans_in_syria/,316,331,dzhebhat-an-nusra,True
https://lenta.ru/news/2019/12/16/americans_in_syria/,722,724,oon,True
https://lenta.ru/news/2019/12/16/americans_in_syria/,751,760,mid-rossii,True
https://lenta.ru/news/2019/12/16/okno/,,,,True
https://lenta.ru/news/2019/12/16/finger/,,,,True
https://lenta.ru/news/2019/12/16/grcha/,,,,True
https://lenta.ru/news/2019/12/16/warm/,,,,True
https://lenta.ru/news/2019/12/16/ole/,952,955,vsemirnoe-antidopingovoe-agentstvo,True
https://lenta.ru/news/2019/12/16/dtp/,164,177,ntv,True
https://lenta.ru/news/2019/12/16/dtp/,472,474,gibdd,True
https://lenta.ru/news/2019/12/16/russianbear/,540,565,mvd,True
https://lenta.ru/news/2019/12/16/rating/,149,164,sovet-federatsii,True
https://lenta.ru/news/2019/12/16/i_umer/,116,135,skr,True
https://lenta.ru/news/2019/12/16/kosino/,,,,True
https://lenta.ru/news/2019/12/16/formula/,151,155,unian,True
https://lenta.ru/news/2019/12/16/rosneft/,1,19,rosneft,True
https://lenta.ru/news/2019/12/16/rosneft/,1598,1614,saratovskiy-npz,True
https://lenta.ru/news/2019/12/16/adaptaciya/,156,160,unian,True
https://lenta.ru/news/2019/12/16/adaptaciya/,273,282,lenta-ru,True
https://lenta.ru/news/2019/12/16/adaptaciya/,1638,1641,obse,True
https://lenta.ru/news/2019/12/16/malisheva/,282,301,aeroport-domodedovo,True
https://lenta.ru/news/2019/12/16/deal/,,,,True
https://lenta.ru/news/2019/12/16/arrested/,,,,True
https://lenta.ru/news/2019/12/16/14/,,,,True
https://lenta.ru/news/2019/12/16/central/,1,14,verhovnaya-rada,True
https://lenta.ru/news/2019/12/16/zoo/,594,596,mvd,True
https://lenta.ru/news/2019/12/16/youtube/,,,,True
https://lenta.ru/news/2019/12/16/pichler/,23,36,sbornaya-rossii,True
https://lenta.ru/news/2019/12/16/pichler/,87,122,vsemirnoe-antidopingovoe-agentstvo,True
https://lenta.ru/news/2019/12/16/gamma/,,,,True
https://lenta.ru/news/2019/12/16/plevok/,71,95,mvd,True
https://lenta.ru/news/2019/12/16/plevok/,239,248,fontanka-ru,True
https://lenta.ru/news/2019/12/16/fuel/,449,454,boeing,True
https://lenta.ru/news/2019/12/16/sber_msp/,1,8,sberbank-rossii,True
https://lenta.ru/news/2019/12/16/sber_msp/,108,125,vedomosti,True
https://lenta.ru/news/2019/12/16/opel/,796,809,general-motors,True
https://lenta.ru/news/2019/12/16/opel/,944,952,avtovaz,True
https://lenta.ru/news/2019/12/16/deoccupation/,1554,1557,obse,True
https://lenta.ru/news/2019/12/16/podlod/,3,6,nato,True
https://lenta.ru/news/2019/12/16/newyear/,,,,True
https://lenta.ru/news/2019/12/16/ididntmeanthat/,636,638,mvd,True
https://lenta.ru/news/2019/12/16/trusova/,,,,True
https://lenta.ru/news/2019/12/16/the_star/,,,,True
https://lenta.ru/news/2019/12/16/oh/,,,,True
https://lenta.ru/news/2019/12/16/peskov/,623,636,verhovnaya-rada,True
https://lenta.ru/news/2019/12/16/osobyi/,198,200,mid,True
https://lenta.ru/news/2019/12/16/osobyi/,1013,1026,verhovnaya-rada,True
https://lenta.ru/news/2019/12/16/difference/,,,,True
https://lenta.ru/news/2019/12/16/pokhmelye/,230,239,bbc-news,True
https://lenta.ru/news/2019/12/16/ussr/,146,159,verhovnaya-rada,True
https://lenta.ru/news/2019/12/16/ussr/,243,259,ukrainskaya-pravda,True
https://lenta.ru/news/2019/12/16/skarlett/,,,,True
https://lenta.ru/news/2019/12/16/newstar/,,,,True
https://lenta.ru/news/2019/12/16/magic/,,,,True
https://lenta.ru/news/2019/12/16/prognoz/,130,136,gosduma,True
https://lenta.ru/news/2019/12/16/prognoz/,582,617,vsemirnoe-antidopingovoe-agentstvo,True
https://lenta.ru/news/2019/12/16/domik/,,,,True
https://lenta.ru/news/2019/12/16/newflag/,235,248,ntv,True
https://lenta.ru/news/2019/12/16/newflag/,798,811,sbornaya-rossii,True
https://lenta.ru/news/2019/12/16/newflag/,862,897,vsemirnoe-antidopingovoe-agentstvo,True
https://lenta.ru/news/2019/12/16/letter/,,,,True
https://lenta.ru/news/2019/12/16/bezgolovy/,120,125,ren-tv,True
https://lenta.ru/news/2019/12/16/gaidar/,15,30,vsemirnyy-bank,True
https://lenta.ru/news/2019/12/16/gaidar/,34,85,oesr,True
https://lenta.ru/news/2019/12/16/gaidar/,136,221,ranhigs,True
https://lenta.ru/news/2019/12/16/gaidar/,626,630,briks,True
https://lenta.ru/news/2019/12/16/gaidar/,953,962,lenta-ru,True
https://lenta.ru/news/2019/12/16/impichmentfirst/,328,332,unian,True
https://lenta.ru/news/2019/12/16/impichmentfirst/,520,522,mid,True
https://lenta.ru/news/2019/12/16/impichmentfirst/,1502,1516,gosdep-ssha,True
https://lenta.ru/news/2019/12/16/impichmentfirst/,2148,2172,genassambleya-oon,True
https://lenta.ru/news/2019/12/16/kofe/,351,381,mezhdunarodnyy-aeroport-vnukovo,True
https://lenta.ru/news/2019/12/16/bondar/,,,,True
https://lenta.ru/news/2019/12/16/keizes/,,,,True
https://lenta.ru/news/2019/12/16/vozduh/,,,,True
https://lenta.ru/news/2019/12/16/armament/,560,579,rosoboroneksport,True
https://lenta.ru/news/2019/12/16/armament/,672,674,ihs,True
https://lenta.ru/news/2019/12/16/lch/,105,143,uefa,True
https://lenta.ru/news/2019/12/16/lch/,192,197,real,True
https://lenta.ru/news/2019/12/16/lch/,580,590,lokomotiv,True
https://lenta.ru/news/2019/12/16/lch/,594,600,zenit,True
https://lenta.ru/news/2019/12/16/reestr/,,,,True
https://lenta.ru/news/2019/12/16/zbroya/,7,9,mid,True
https://lenta.ru/news/2019/12/16/zbroya/,97,111,unian,True
https://lenta.ru/news/2019/12/16/zbroya/,1114,1115,es,True
https://lenta.ru/news/2019/12/16/virtual_crime/,,,,True
https://lenta.ru/news/2019/12/16/represso/,,,,True
https://lenta.ru/news/2019/12/16/qin/,128,136,bloomberg,True
https://lenta.ru/news/2019/12/16/14m/,279,299,fsin,True
https://lenta.ru/news/2019/12/16/pojilye/,801,819,administratsiya-ssha,True
https://lenta.ru/news/2019/12/16/copy/,,,,True
https://lenta.ru/news/2019/12/16/festivemood/,,,,True
https://lenta.ru/news/2019/12/16/concert_alisa/,147,156,lenta-ru,True
https://lenta.ru/news/2019/12/16/lift/,7,18,roskosmos,True
https://lenta.ru/news/2019/12/16/surikovo/,,,,True
https://lenta.ru/news/2019/12/16/rosatom/,163,171,rosatom,True
https://lenta.ru/news/2019/12/16/kuban/,224,234,minselhoz,True
https://lenta.ru/news/2019/12/16/dorogi/,,,,True
https://lenta.ru/news/2019/12/16/stamp/,231,233,mid,True
https://lenta.ru/news/2019/12/16/zapret/,97,99,fsb,True
https://lenta.ru/news/2019/12/16/zapret/,301,316,sovet-federatsii,True
https://lenta.ru/news/2019/12/16/europe/,124,162,uefa,True
https://lenta.ru/news/2019/12/16/europe/,173,189,manchester-yunayted,True
https://lenta.ru/news/2019/12/16/europe/,678,681,tsska,True
https://lenta.ru/news/2019/12/16/shayk_condo/,,,,True
https://lenta.ru/news/2019/12/16/redlines/,187,191,unian,True
https://lenta.ru/news/2019/12/16/malysheva_gandelman/,162,172,gazeta-ru,True
https://lenta.ru/news/2019/12/16/malysheva_gandelman/,279,298,aeroport-domodedovo,True
https://lenta.ru/news/2019/12/16/malysheva_gandelman/,1273,1281,rospechat,True
https://lenta.ru/news/2019/12/16/poezda_druzhby/,196,200,unian,True
https://lenta.ru/news/2019/12/16/poezda_druzhby/,759,761,mid,True
https://lenta.ru/news/2019/12/16/mesta/,125,131,gosduma,True
https://lenta.ru/news/2019/12/16/terribl/,,,,True
https://lenta.ru/news/2019/12/16/berlin/,347,349,gru,True
https://lenta.ru/news/2019/12/16/berlin/,383,406,administratsiya-prezidenta-rf,True
https://lenta.ru/news/2019/12/16/berlin/,1303,1317,imarat-kavkaz,True
https://lenta.ru/news/2019/12/16/skotch/,31,32,ak-s7,True
https://lenta.ru/news/2019/12/16/skotch/,210,219,mvd,True
https://lenta.ru/news/2019/12/16/protesty/,663,667,vgtrk,True
https://lenta.ru/news/2019/12/16/newbrn/,291,316,mvd,True
https://lenta.ru/news/2019/12/16/summit/,457,465,es,True
https://lenta.ru/news/2019/12/16/lor/,1035,1061,skr,True
https://lenta.ru/news/2019/12/16/kushat/,,,,True
https://lenta.ru/news/2019/12/16/ucraine/,,,,True
https://lenta.ru/news/2019/12/16/galaxy/,,,,True
https://lenta.ru/news/2019/12/16/elitita/,269,296,miel,True
https://lenta.ru/news/2019/12/16/elitita/,319,328,lenta-ru,True
https://lenta.ru/news/2019/12/16/dvoynoe/,651,664,verhovnaya-rada,True
https://lenta.ru/news/2019/12/16/dvoynoe/,1688,1690,mid,True
https://lenta.ru/news/2019/12/16/kick/,285,294,daily-mail,True
https://lenta.ru/news/2019/12/16/bezsuda/,390,408,federalnaya-nalogovaya-sluzhba,True
https://lenta.ru/news/2019/12/16/rzhd/,1,3,rzhd,True
https://lenta.ru/news/2019/12/16/rzhd/,138,170,federalnaya-passazhirskaya-kompaniya,True
https://lenta.ru/news/2019/12/16/rzhd/,402,418,transmashholding,True
https://lenta.ru/news/2019/12/16/rzhd/,901,907,gosduma,True
https://lenta.ru/news/2019/12/16/macron_is_coming/,171,195,eho-moskvy,True
https://lenta.ru/news/2019/12/16/macron_is_coming/,471,473,mid,True
https://lenta.ru/news/2019/12/16/sotrudnik/,,,,True
https://lenta.ru/news/2019/12/16/no_means_no/,55,65,gazprom,True
https://lenta.ru/news/2019/12/16/no_means_no/,360,370,naftogaz,True
https://lenta.ru/news/2019/12/16/no_means_no/,1408,1423,severnyy-potok,True
https://lenta.ru/news/2019/12/16/prazdnik/,105,136,pravitelstvo-moskovskoy-oblasti,True
https://lenta.ru/news/2019/12/16/prazdnik/,213,217,riamo,True
https://lenta.ru/news/2019/12/16/engagement/,,,,True
https://lenta.ru/news/2019/12/16/porohwife/,,,,True
https://lenta.ru/news/2019/12/16/heydrich/,,,,True
https://lenta.ru/news/2019/12/16/sobchak_iisus/,1214,1228,gazprom-media,True
https://lenta.ru/news/2019/12/16/bilibili/,95,108,verhovnaya-rada,True
https://lenta.ru/news/2019/12/16/bilibili/,199,209,genprokuratura-rf,True
https://lenta.ru/news/2019/12/16/zamoroz/,229,235,gosduma,True
https://lenta.ru/news/2019/12/16/zamoroz/,371,387,pensionnyy-fond-rf,True
https://lenta.ru/news/2019/12/16/zamoroz/,1096,1102,minfin,True
https://lenta.ru/news/2019/12/16/baskov/,,,,True
https://lenta.ru/news/2019/12/16/kylie/,,,,True
https://lenta.ru/news/2019/12/16/fifa/,119,157,uefa,True
https://lenta.ru/news/2019/12/16/mig/,,,,True
https://lenta.ru/news/2019/12/16/murder/,,,,True
https://lenta.ru/news/2019/12/16/hrushki/,,,,True
https://lenta.ru/news/2019/12/16/ostanetsya/,215,243,skr,True
https://lenta.ru/news/2019/12/16/white/,602,604,tsru,True
https://lenta.ru/news/2019/12/16/white/,791,805,mid,True
https://lenta.ru/news/2019/12/16/firefire/,499,501,cnn,True
https://lenta.ru/news/2019/12/16/buzova_vse_von/,,,,True
https://lenta.ru/news/2019/12/16/imp/,152,154,rbk,True
https://lenta.ru/news/2019/12/16/nedopustimost_ukrainy/,226,228,mid,True
https://lenta.ru/news/2019/12/16/nedopustimost_ukrainy/,1291,1300,bundestag,True
https://lenta.ru/news/2019/12/16/free_heart/,340,348,minzdrav-rf,True
https://lenta.ru/news/2019/12/16/christofari/,58,66,sberbank-rossii,True
https://lenta.ru/news/2019/12/16/christofari/,738,753,fond-skolkovo,True
https://lenta.ru/news/2019/12/16/msp/,378,397,minpromtorg,True
https://lenta.ru/news/2019/12/16/rat/,,,,True
https://lenta.ru/news/2019/12/16/kpmi/,209,217,ia-regnum,True
https://lenta.ru/news/2019/12/16/fans/,1437,1450,sbornaya-rossii,True
https://lenta.ru/news/2019/12/16/pesticid/,,,,True
https://lenta.ru/news/2019/12/16/haircut/,,,,True
https://lenta.ru/news/2019/12/16/katyperry/,,,,True
https://lenta.ru/news/2019/12/16/konchitta/,,,,True
https://lenta.ru/news/2019/12/16/tag_rugby/,170,179,lenta-ru,True
https://lenta.ru/news/2019/12/16/tag_rugby/,838,841,tsska,True
https://lenta.ru/news/2019/12/16/tag_rugby/,857,872,sovet-federatsii,True
